Category,Ethnicity,Academic Yr,Perc FR,FilteredCountFR
Applicants,Unknown,2015,2.91%,1880
Applicants,White,2015,21.68%,14005
Applicants,International,2015,17.40%,11240
Applicants,Hispanic/Latinx,2015,21.17%,13675
Applicants,Asian,2015,31.99%,20666
Applicants,American Indian,2015,0.49%,319
Applicants,African American,2015,4.36%,2817
Applicants,All,2015,100.00%,64602
Applicants,Unknown,2014,2.60%,1575
Applicants,White,2014,23.22%,14061
Applicants,International,2014,15.55%,9413
Applicants,Hispanic/Latinx,2014,20.54%,12438
Applicants,Asian,2014,33.25%,20130
Applicants,American Indian,2014,0.62%,376
Applicants,African American,2014,4.21%,2550
Applicants,All,2014,100.00%,60543
Applicants,Unknown,2013,2.92%,1630
Applicants,White,2013,25.03%,13989
Applicants,International,2013,11.99%,6699
Applicants,Hispanic/Latinx,2013,20.63%,11529
Applicants,Asian,2013,34.50%,19281
Applicants,American Indian,2013,0.57%,317
Applicants,African American,2013,4.38%,2449
Applicants,All,2013,100.00%,55894
Applicants,Unknown,2012,2.64%,1317
Applicants,White,2012,26.58%,13242
Applicants,International,2012,8.31%,4138
Applicants,Hispanic/Latinx,2012,20.51%,10216
Applicants,Asian,2012,36.75%,18310
Applicants,American Indian,2012,0.64%,319
Applicants,African American,2012,4.57%,2278
Applicants,All,2012,100.00%,49820
Applicants,Unknown,2011,2.43%,1125
Applicants,White,2011,30.31%,14010
Applicants,International,2011,4.47%,2066
Applicants,Hispanic/Latinx,2011,20.26%,9363
Applicants,Asian,2011,37.47%,17317
Applicants,American Indian,2011,0.66%,303
Applicants,African American,2011,4.39%,2031
Applicants,All,2011,100.00%,46215
Applicants,Unknown,2010,5.44%,2356
Applicants,White,2010,31.24%,13533
Applicants,International,2010,3.77%,1634
Applicants,Hispanic/Latinx,2010,17.88%,7746
Applicants,Asian,2010,36.41%,15772
Applicants,American Indian,2010,0.82%,355
Applicants,African American,2010,4.43%,1917
Applicants,All,2010,100.00%,43313
Admits,Unknown,2021,2.76%,1173
Admits,White,2021,19.61%,8329
Admits,International,2021,26.16%,11112
Admits,Hispanic/Latinx,2021,17.08%,7256
Admits,Asian,2021,30.39%,12909
Admits,American Indian,2021,0.37%,159
Admits,African American,2021,3.62%,1536
Admits,All,2021,100.00%,42474
Admits,Unknown,2020,3.14%,1121
Admits,White,2020,18.64%,6645
Admits,International,2020,26.19%,9337
Admits,Hispanic/Latinx,2020,17.18%,6124
Admits,Asian,2020,31.51%,11230
Admits,American Indian,2020,0.39%,138
Admits,African American,2020,2.95%,1050
Admits,All,2020,100.00%,35645
Admits,Unknown,2019,2.77%,842
Admits,White,2019,20.51%,6225
Admits,International,2019,22.69%,6888
Admits,Hispanic/Latinx,2019,18.46%,5604
Admits,Asian,2019,32.01%,9717
Admits,American Indian,2019,0.40%,120
Admits,African American,2019,3.17%,962
Admits,All,2019,100.00%,30358
Admits,Unknown,2018,3.01%,966
Admits,White,2018,19.77%,6335
Admits,International,2018,26.98%,8646
Admits,Hispanic/Latinx,2018,17.52%,5616
Admits,Asian,2018,29.26%,9378
Admits,American Indian,2018,0.42%,134
Admits,African American,2018,3.03%,971
Admits,All,2018,100.00%,32046
Admits,Unknown,2017,2.81%,863
Admits,White,2017,20.86%,6417
Admits,International,2017,26.97%,8295
Admits,Hispanic/Latinx,2017,17.01%,5234
Admits,Asian,2017,28.98%,8915
Admits,American Indian,2017,0.46%,143
Admits,African American,2017,2.91%,895
Admits,All,2017,100.00%,30762
Admits,Unknown,2016,3.14%,911
Admits,White,2016,22.94%,6647
Admits,International,2016,23.05%,6680
Admits,Hispanic/Latinx,2016,16.91%,4902
Admits,Asian,2016,30.53%,8847
Admits,American Indian,2016,0.46%,133
Admits,African American,2016,2.97%,861
Admits,All,2016,100.00%,28981
Admits,Unknown,2015,3.12%,764
Admits,White,2015,22.97%,5632
Admits,International,2015,23.11%,5666
Admits,Hispanic/Latinx,2015,15.55%,3812
Admits,Asian,2015,32.07%,7864
Admits,American Indian,2015,0.50%,123
Admits,African American,2015,2.68%,657
Admits,All,2015,100.00%,24518
Admits,Unknown,2014,3.17%,774
Admits,White,2014,25.35%,6196
Admits,International,2014,17.23%,4210
Admits,Hispanic/Latinx,2014,16.25%,3972
Admits,Asian,2014,34.92%,8534
Admits,American Indian,2014,0.61%,150
Admits,African American,2014,2.47%,604
Admits,All,2014,100.00%,24440
Admits,Unknown,2013,3.51%,809
Admits,White,2013,28.26%,6518
Admits,International,2013,13.84%,3193
Admits,Hispanic/Latinx,2013,15.41%,3555
Admits,Asian,2013,35.88%,8275
Admits,American Indian,2013,0.55%,128
Admits,African American,2013,2.54%,587
Admits,All,2013,100.00%,23065
Admits,Unknown,2012,3.15%,709
Admits,White,2012,29.81%,6715
Admits,International,2012,9.53%,2146
Admits,Hispanic/Latinx,2012,15.51%,3493
Admits,Asian,2012,38.88%,8757
Admits,American Indian,2012,0.54%,122
Admits,African American,2012,2.59%,584
Admits,All,2012,100.00%,22526
Admits,Unknown,2011,2.66%,593
Admits,White,2011,30.50%,6803
Admits,International,2011,6.62%,1477
Admits,Hispanic/Latinx,2011,17.35%,3869
Admits,Asian,2011,39.38%,8782
Admits,American Indian,2011,0.64%,143
Admits,African American,2011,2.85%,636
Admits,All,2011,100.00%,22303
Admits,Unknown,2010,5.92%,1186
Admits,White,2010,32.12%,6437
Admits,International,2010,3.82%,765
Admits,Hispanic/Latinx,2010,16.45%,3298
Admits,Asian,2010,38.02%,7621
Admits,American Indian,2010,0.86%,173
Admits,African American,2010,2.81%,563
Admits,All,2010,100.00%,20043
Enrollees,Unknown,2021,2.51%,188
Enrollees,White,2021,19.10%,1429
Enrollees,International,2021,18.99%,1421
Enrollees,Hispanic/Latinx,2021,21.91%,1639
Enrollees,Asian,2021,34.19%,2558
Enrollees,American Indian,2021,0.23%,17
Enrollees,African American,2021,3.07%,230
Enrollees,All,2021,100.00%,7482
Enrollees,Unknown,2020,2.38%,146
Enrollees,White,2020,18.64%,1145
Enrollees,International,2020,17.55%,1078
Enrollees,Hispanic/Latinx,2020,23.93%,1470
Enrollees,Asian,2020,33.77%,2075
Enrollees,American Indian,2020,0.37%,23
Enrollees,African American,2020,3.37%,207
Enrollees,All,2020,100.00%,6144
Enrollees,Unknown,2019,2.13%,127
Enrollees,White,2019,20.65%,1230
Enrollees,International,2019,13.08%,779
Enrollees,Hispanic/Latinx,2019,24.59%,1465
Enrollees,Asian,2019,35.67%,2125
Enrollees,American Indian,2019,0.37%,22
Enrollees,African American,2019,3.51%,209
Enrollees,All,2019,100.00%,5957
Enrollees,Unknown,2018,2.17%,139
Enrollees,White,2018,19.26%,1231
Enrollees,International,2018,19.24%,1230
Enrollees,Hispanic/Latinx,2018,24.23%,1549
Enrollees,Asian,2018,31.21%,1995
Enrollees,American Indian,2018,0.44%,28
Enrollees,African American,2018,3.46%,221
Enrollees,All,2018,100.00%,6393
Enrollees,Unknown,2017,2.01%,118
Enrollees,White,2017,19.90%,1168
Enrollees,International,2017,22.03%,1293
Enrollees,Hispanic/Latinx,2017,24.11%,1415
Enrollees,Asian,2017,28.29%,1660
Enrollees,American Indian,2017,0.41%,24
Enrollees,African American,2017,3.24%,190
Enrollees,All,2017,100.00%,5868
Enrollees,Unknown,2016,2.40%,138
Enrollees,White,2016,23.50%,1354
Enrollees,International,2016,15.10%,870
Enrollees,Hispanic/Latinx,2016,24.18%,1393
Enrollees,Asian,2016,31.38%,1808
Enrollees,American Indian,2016,0.40%,23
Enrollees,African American,2016,3.05%,176
Enrollees,All,2016,100.00%,5762
Enrollees,Unknown,2015,2.61%,140
Enrollees,White,2015,22.95%,1232
Enrollees,International,2015,17.73%,952
Enrollees,Hispanic/Latinx,2015,20.86%,1120
Enrollees,Asian,2015,32.15%,1726
Enrollees,American Indian,2015,0.54%,29
Enrollees,African American,2015,3.17%,170
Enrollees,All,2015,100.00%,5369
Enrollees,Unknown,2014,2.68%,144
Enrollees,White,2014,24.62%,1324
Enrollees,International,2014,11.10%,597
Enrollees,Hispanic/Latinx,2014,21.44%,1153
Enrollees,Asian,2014,36.53%,1964
Enrollees,American Indian,2014,0.74%,40
Enrollees,African American,2014,2.88%,155
Enrollees,All,2014,100.00%,5377
Enrollees,Unknown,2013,2.93%,150
Enrollees,White,2013,27.58%,1410
Enrollees,International,2013,9.84%,503
Enrollees,Hispanic/Latinx,2013,18.76%,959
Enrollees,Asian,2013,37.30%,1907
Enrollees,American Indian,2013,0.70%,36
Enrollees,African American,2013,2.89%,148
Enrollees,All,2013,100.00%,5113
Enrollees,Unknown,2012,2.59%,135
Enrollees,White,2012,29.38%,1530
Enrollees,International,2012,5.40%,281
Enrollees,Hispanic/Latinx,2012,17.40%,906
Enrollees,Asian,2012,41.53%,2163
Enrollees,American Indian,2012,0.65%,34
Enrollees,African American,2012,3.05%,159
Enrollees,All,2012,100.00%,5208
Enrollees,Unknown,2011,1.89%,89
Enrollees,White,2011,28.31%,1332
Enrollees,International,2011,3.93%,185
Enrollees,Hispanic/Latinx,2011,18.19%,856
Enrollees,Asian,2011,44.19%,2079
Enrollees,American Indian,2011,0.72%,34
Enrollees,African American,2011,2.76%,130
Enrollees,All,2011,100.00%,4705
Enrollees,Unknown,2010,5.00%,225
Enrollees,White,2010,30.13%,1356
Enrollees,International,2010,1.42%,64
Enrollees,Hispanic/Latinx,2010,18.24%,821
Enrollees,Asian,2010,41.06%,1848
Enrollees,American Indian,2010,1.00%,45
Enrollees,African American,2010,3.15%,142
Enrollees,All,2010,100.00%,4501
