Category,Ethnicity,Academic Yr,Perc FR,FilteredCountFR
Admits,African American,2019,5.35%,734
Admits,All,2019,100.00%,13720
Admits,Unknown,2018,4.58%,731
Admits,White,2018,24.47%,3908
Admits,International,2018,13.86%,2213
Admits,Hispanic/Latinx,2018,14.85%,2372
Admits,Asian,2018,36.91%,5894
Admits,American Indian,2018,0.70%,111
Admits,African American,2018,4.64%,741
Admits,All,2018,100.00%,15970
Admits,Unknown,2017,4.28%,704
Admits,White,2017,25.66%,4223
Admits,International,2017,14.00%,2304
Admits,Hispanic/Latinx,2017,15.44%,2541
Admits,Asian,2017,35.56%,5851
Admits,American Indian,2017,0.55%,91
Admits,African American,2017,4.51%,742
Admits,All,2017,100.00%,16456
Admits,Unknown,2016,4.34%,758
Admits,White,2016,25.04%,4376
Admits,International,2016,14.11%,2466
Admits,Hispanic/Latinx,2016,16.20%,2831
Admits,Asian,2016,35.19%,6149
Admits,American Indian,2016,0.59%,103
Admits,African American,2016,4.52%,790
Admits,All,2016,100.00%,17473
Admits,Unknown,2015,4.36%,698
Admits,White,2015,25.26%,4046
Admits,International,2015,14.77%,2365
Admits,Hispanic/Latinx,2015,15.06%,2412
Admits,Asian,2015,36.04%,5772
Admits,American Indian,2015,0.53%,85
Admits,African American,2015,3.98%,638
Admits,All,2015,100.00%,16016
Admits,Unknown,2014,3.70%,594
Admits,White,2014,26.12%,4194
Admits,International,2014,15.90%,2553
Admits,Hispanic/Latinx,2014,14.67%,2356
Admits,Asian,2014,35.40%,5685
Admits,American Indian,2014,0.53%,85
Admits,African American,2014,3.69%,592
Admits,All,2014,100.00%,16059
Admits,Unknown,2013,3.93%,647
Admits,White,2013,26.33%,4330
Admits,International,2013,15.98%,2628
Admits,Hispanic/Latinx,2013,14.16%,2329
Admits,Asian,2013,35.58%,5853
Admits,American Indian,2013,0.49%,80
Admits,African American,2013,3.53%,581
Admits,All,2013,100.00%,16448
Admits,Unknown,2012,2.89%,462
Admits,White,2012,24.44%,3906
Admits,International,2012,19.65%,3141
Admits,Hispanic/Latinx,2012,13.74%,2196
Admits,Asian,2012,35.57%,5685
Admits,American Indian,2012,0.57%,91
Admits,African American,2012,3.13%,500
Admits,All,2012,100.00%,15981
Admits,Unknown,2011,3.07%,481
Admits,White,2011,27.42%,4302
Admits,International,2011,14.96%,2347
Admits,Hispanic/Latinx,2011,13.12%,2058
Admits,Asian,2011,37.95%,5954
Admits,American Indian,2011,0.53%,83
Admits,African American,2011,2.96%,464
Admits,All,2011,100.00%,15689
Admits,Unknown,2010,6.00%,785
Admits,White,2010,28.70%,3756
Admits,International,2010,9.65%,1263
Admits,Hispanic/Latinx,2010,13.11%,1716
Admits,Asian,2010,38.60%,5051
Admits,American Indian,2010,0.61%,80
Admits,African American,2010,3.33%,436
Admits,All,2010,100.00%,13087
Enrollees,Unknown,2021,3.54%,233
Enrollees,White,2021,25.64%,1688
Enrollees,International,2021,10.40%,685
Enrollees,Hispanic/Latinx,2021,19.43%,1279
Enrollees,Asian,2021,34.01%,2239
Enrollees,American Indian,2021,0.70%,46
Enrollees,African American,2021,6.29%,414
Enrollees,All,2021,100.00%,6584
Enrollees,Unknown,2020,3.93%,251
Enrollees,White,2020,24.96%,1594
Enrollees,International,2020,7.52%,480
Enrollees,Hispanic/Latinx,2020,19.23%,1228
Enrollees,Asian,2020,38.79%,2477
Enrollees,American Indian,2020,0.44%,28
Enrollees,African American,2020,5.14%,328
Enrollees,All,2020,100.00%,6386
Enrollees,Unknown,2019,3.33%,197
Enrollees,White,2019,24.80%,1468
Enrollees,International,2019,9.14%,541
Enrollees,Hispanic/Latinx,2019,20.63%,1221
Enrollees,Asian,2019,35.46%,2099
Enrollees,American Indian,2019,0.68%,40
Enrollees,African American,2019,5.98%,354
Enrollees,All,2019,100.00%,5920
Enrollees,Unknown,2018,3.88%,242
Enrollees,White,2018,25.58%,1596
Enrollees,International,2018,10.45%,652
Enrollees,Hispanic/Latinx,2018,19.02%,1187
Enrollees,Asian,2018,34.49%,2152
Enrollees,American Indian,2018,0.77%,48
Enrollees,African American,2018,5.82%,363
Enrollees,All,2018,100.00%,6240
Enrollees,Unknown,2017,3.44%,208
Enrollees,White,2017,26.22%,1583
Enrollees,International,2017,11.00%,664
Enrollees,Hispanic/Latinx,2017,21.65%,1307
Enrollees,Asian,2017,31.68%,1913
Enrollees,American Indian,2017,0.50%,30
Enrollees,African American,2017,5.52%,333
Enrollees,All,2017,100.00%,6038
Enrollees,Unknown,2016,3.27%,214
Enrollees,White,2016,24.22%,1585
Enrollees,International,2016,11.37%,744
Enrollees,Hispanic/Latinx,2016,22.38%,1465
Enrollees,Asian,2016,32.16%,2105
Enrollees,American Indian,2016,0.61%,40
Enrollees,African American,2016,5.99%,392
Enrollees,All,2016,100.00%,6545
Enrollees,Unknown,2015,3.73%,212
Enrollees,White,2015,25.91%,1471
Enrollees,International,2015,11.20%,636
Enrollees,Hispanic/Latinx,2015,19.80%,1124
Enrollees,Asian,2015,33.96%,1928
Enrollees,American Indian,2015,0.49%,28
Enrollees,African American,2015,4.91%,279
Enrollees,All,2015,100.00%,5678
Enrollees,Unknown,2014,2.91%,168
Enrollees,White,2014,26.23%,1512
Enrollees,International,2014,12.16%,701
Enrollees,Hispanic/Latinx,2014,19.83%,1143
Enrollees,Asian,2014,33.83%,1950
Enrollees,American Indian,2014,0.52%,30
Enrollees,African American,2014,4.51%,260
Enrollees,All,2014,100.00%,5764
Enrollees,Unknown,2013,3.62%,206
Enrollees,White,2013,26.61%,1516
Enrollees,International,2013,11.41%,650
Enrollees,Hispanic/Latinx,2013,19.38%,1104
Enrollees,Asian,2013,34.18%,1947
Enrollees,American Indian,2013,0.54%,31
Enrollees,African American,2013,4.27%,243
Enrollees,All,2013,100.00%,5697
Enrollees,Unknown,2012,2.51%,141
Enrollees,White,2012,23.74%,1334
Enrollees,International,2012,18.11%,1018
Enrollees,Hispanic/Latinx,2012,18.11%,1018
Enrollees,Asian,2012,33.45%,1880
Enrollees,American Indian,2012,0.48%,27
Enrollees,African American,2012,3.59%,202
Enrollees,All,2012,100.00%,5620
Enrollees,Unknown,2011,2.63%,153
Enrollees,White,2011,28.81%,1678
Enrollees,International,2011,10.20%,594
Enrollees,Hispanic/Latinx,2011,16.84%,981
Enrollees,Asian,2011,37.12%,2162
Enrollees,American Indian,2011,0.57%,33
Enrollees,African American,2011,3.85%,224
Enrollees,All,2011,100.00%,5825
Enrollees,Unknown,2010,5.18%,240
Enrollees,White,2010,29.31%,1359
Enrollees,International,2010,6.10%,283
Enrollees,Hispanic/Latinx,2010,16.01%,742
Enrollees,Asian,2010,38.65%,1792
Enrollees,American Indian,2010,0.56%,26
Enrollees,African American,2010,4.18%,194
Enrollees,All,2010,100.00%,4636
