Category,Ethnicity,Academic Yr,Perc FR,FilteredCountFR
Enrollees,Asian,2014,26.64%,1075
Enrollees,American Indian,2014,0.55%,22
Enrollees,African American,2014,4.73%,191
Enrollees,All,2014,100.00%,4035
Enrollees,Unknown,2013,3.09%,102
Enrollees,White,2013,30.42%,1004
Enrollees,International,2013,3.64%,120
Enrollees,Hispanic/Latinx,2013,32.87%,1085
Enrollees,Asian,2013,24.78%,818
Enrollees,American Indian,2013,0.48%,16
Enrollees,African American,2013,4.73%,156
Enrollees,All,2013,100.00%,3301
Enrollees,Unknown,2012,2.56%,98
Enrollees,White,2012,31.36%,1200
Enrollees,International,2012,0.50%,19
Enrollees,Hispanic/Latinx,2012,33.05%,1265
Enrollees,Asian,2012,27.70%,1060
Enrollees,American Indian,2012,0.94%,36
Enrollees,African American,2012,3.89%,149
Enrollees,All,2012,100.00%,3827
Enrollees,Unknown,2011,2.05%,74
Enrollees,White,2011,36.96%,1333
Enrollees,International,2011,0.33%,12
Enrollees,Hispanic/Latinx,2011,28.58%,1031
Enrollees,Asian,2011,27.53%,993
Enrollees,American Indian,2011,1.00%,36
Enrollees,African American,2011,3.55%,128
Enrollees,All,2011,100.00%,3607
Enrollees,Unknown,2010,5.29%,174
Enrollees,White,2010,38.42%,1264
Enrollees,International,2010,0.33%,11
Enrollees,Hispanic/Latinx,2010,24.50%,806
Enrollees,Asian,2010,27.48%,904
Enrollees,American Indian,2010,1.19%,39
Enrollees,African American,2010,2.80%,92
Enrollees,All,2010,100.00%,3290
